"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","MEASURE_2 error","Operational"
"62","269.2363755614486","111.82140000864145","0.0191650390625","0.008056640625","0.0302734375","2280","0.00023844856272899517","32","0.00023844856272899517","0","0.00023844856272899517","0.00023844856272899517","61:0.0015971560471243762;63:0.0019197589402444315","61:68;63:68","61:0.0018133833302485802;63:0.0020529571633980115","0.0191650390625","0.5","Yes"
"63","426.3787070088861","60.52389982647246","0.0125732421875","0.013427734375","0.01171875","2280","0.00037661762722851987","32","0.00037661762722851987","0","0.00037661762722851987","0.00037661762722851987","56:0.0018800024985043129;62:0.0019197589402444315;64:0.0016484272665333588","56:68;62:68;64:68","56:0.00218076469541878;62:0.0020529571633980115;64:0.0019489022835408876","0.0125732421875","0.027587890625","Yes"
"64","247.74192349371677","150.33469850119397","0.00634765625","0.00830078125","0.00439453125","2280","0.0005376640153588934","32","0.0005376640153588934","0","0.0005376640153588934","0.0005376640153588934","65:0.001871738122551564;63:0.0016484272665333588","65:68;63:68","65:0.0015895840815038642;63:0.0019489022835408876","0.00634765625","0.116455078125","Yes"
"65","98.16915728789316","110.75706183979257","0.01513671875","0.018310546875","0.011962890625","2280","0.0005123165240475351","32","0.0005123165240475351","0","0.0005123165240475351","0.0005123165240475351","64:0.001871738122551564;66:0.002508408557788694;77:0.0016609419903655942","64:68;66:68;77:68","64:0.0015895840815038642;66:0.001880073636247509;77:0.001406789223548116","0.01513671875","0.132080078125","Yes"
"66","144.60760821697457","155.58900710682084","0.0089111328125","0.01220703125","0.005615234375","2280","0.00041280198700028843","32","0.00041280198700028843","0","0.00041280198700028843","0.00041280198700028843","65:0.002508408557788694;67:0.002463791707365548","65:68;67:68","65:0.001880073636247509;67:0.0019500233034705217","0.0089111328125","0.01513671875","Yes"
"67","190.0336908050862","188.4799321270879","0.006103515625","0.005859375","0.00634765625","2280","0.00021370678977645222","32","0.00021370678977645222","0","0.00021370678977645222","0.00021370678977645222","68:0.0014309883392293332;57:0.0024212253725726107;66:0.002463791707365548","68:68;57:68;66:68","68:0.0015928607427818375;57:0.0017633796626192189;66:0.0019500233034705217","0.006103515625","0.01123046875","Yes"
"68","134.9718825741285","78.64492367117117","0.0052490234375","0.0087890625","0.001708984375","2280","0.00026831464606599467","32","0.00026831464606599467","0","0.00026831464606599467","0.00026831464606599467","67:0.0014309883392293332;69:0.001352305406686738","67:68;69:68","67:0.0015928607427818375;69:0.001355996782451796","0.0052490234375","0.0078125","Yes"
"69","212.3463645347109","123.17217460897139","0.0086669921875","0.008544921875","0.0087890625","2280","0.00024259178089227975","32","0.00024259178089227975","0","0.00024259178089227975","0.00024259178089227975","78:0.0020122991136662105;68:0.001352305406686738;70:0.003267395043386273","78:68;68:68;70:68","78:0.002430660138443841;68:0.001355996782451796;70:0.0029055466131231444","0.0086669921875","0.0947265625","Yes"
"70","232.28724726962992","252.92915504850305","0.021240234375","0.022705078125","0.019775390625","2280","0.00015181742346929527","32","0.00015181742346929527","0","0.00015181742346929527","0.00015181742346929527","69:0.003267395043386273;71:0.0018743361769348599","69:68;71:68","69:0.0029055466131231444;71:0.0024328052915246756","0.021240234375","0.050537109375","Yes"
"71","187.82831211291924","141.12267444638002","0.01171875","0.010986328125","0.012451171875","2280","0.00013213948484834567","32","0.00013213948484834567","0","0.00013213948484834567","0.00013213948484834567","72:0.0012272682187437767;58:0.0013283332210852483;70:0.0018743361769348599","72:68;58:68;70:68","72:0.0012957699353855212;58:0.0011653250463788678;70:0.0024328052915246756","0.01171875","0.094970703125","Yes"
